date,Impact - USD,Headline,Impact - Raw,Impact - units recalled,Impact - injured or killed,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected,Impact - Qty,Currency Symbol,Impact - Currency,Country,Region,Failure Type,Organization Type,Government Type,Government Department,Industry Area,url,Project,Companies,Theme
2008-03-01,,"Dutch Tax Office Accidentally Erases 730,000 Digitally Submitted Tax Returns",Taxpayers must resubmit their returns.,,,,,,730000,,,,Netherlands,"Europe, Middle East, and Africa",Operational Failure,Government,National,Finance and Treasury,,http://spectrum.ieee.org/riskfactor/computing/it/dutch_tax_office_loses_730000,,,taxes
2008-12-01,,Veterans Affairs Failure to Update Software Shortchanges War Widows for 12 years,"400,000 widows are owed money.",,,12,years,104832,400000,,,,US,The Americas,Operational Failure,Government,National,Defense and Veterans Affairs,,http://spectrum.ieee.org/riskfactor/computing/it/us_department_of_veteran_affai,,,social welfare
2009-12-01,,California Unemployment System Programming Issues Delay Checks,"117,000 unemployment checks were not sent out.",,,,,,117000,,,,US,The Americas,Operational Failure,Government,State/Local,Labor,,http://spectrum.ieee.org/riskfactor/computing/it/117000-california-unemployment-checks-in-limbo-because-of-states-it-systems-problems,,,social welfare
2010-06-01,,"UK HMRC Agency Computer System Errors Hit 100,000 Taxpayers",The tax agency claimed the system was working as it should.,,,,,,100000,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Government,National,Finance and Treasury,,http://spectrum.ieee.org/riskfactor/computing/it/uk-revenue-and-customs-computer-errors-whack-100000-taxpayers,,,taxes
2010-09-01,,UK Government Tries to Quell Firestorm over Incorrectly Computed Taxes for 13.5 Million Taxpayers,HMRC computer system modernization to blame.,,,,,,13500000,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Government,National,Finance and Treasury,,http://spectrum.ieee.org/riskfactor/computing/it/uk-government-moves-to-reduce-paye-system-political-fallout,,,taxes
2013-03-01,,"Tax Refunds for Over 600,000 H&R Block Users Delayed Because of eFile Problems",Refunds were delayed up to 8 weeks.,,,8,weeks,1536,600000,,,,US,The Americas,Operational Failure,Commercial,,,Banking and Financial,http://spectrum.ieee.org/riskfactor/computing/it/it-hiccups-of-the-week-hundreds-of-thousands-hit-by-us-tax-filing-glitches,,,taxes
2013-08-01,54000000,Massachusetts Department of Revenue Cancels New $114 Million Tax System Development,The state cancels its contract with Deloitte for poor performance after spending $54 Million.,,,,,,,54000000,$,USD,US,The Americas,Project Failure,Government,State/Local,Finance and Treasury,,http://www.crn.com/news/channel-programs/240162344/deloitte-state-contracts-repeatedly-over-time-budget-report.htm,,Deloitte,"project termination/cancellation, taxes"
2014-01-01,9.08E7,North Carolina Cancels Tax Computer System Project After Spending $90.8 Million,The state will go in another direction.,,,,,,,9.08E7,$,USD,US,The Americas,Project Failure,Government,State/Local,Finance and Treasury,,http://www.govtech.com/health/State-Pulls-Plug-on-90-Million-Tax-Computer-System.html; http://www.govtech.com/state/NC-Revenue-Department-CGI-Agreed-not-to-Disparage-Each-Other-Following-Failed-Project.html; http://www.wral.com/revenue-department-pulls-plug-on-computer-system-upgrade/13301442/,,CGI,"project termination/cancellation, taxes"
2014-04-01,706756089,UK £2.4 Billion Universal Credit Programme Begins Again,The program completion date is pushed from 2015 to 2017. The £425m spent on the program so far is likely to be written off.,,,,,,,4.25E8,£,GBP,UK,"Europe, Middle East, and Africa",Operational Failure,Government,National,Health and Human Services,,http://www.newstatesman.com/politics/2014/04/universal-credit-anatomy-government-failure,,,social welfare
2014-09-01,29000000,"Indiana's Bureau of Motor Vehicles Overcharged 180,000 Customers over Ten Years",The state promises to refund $29 Million (plus interest) in wrongly calculated excise tax fees.,,,10,years,87360,180000,29000000,$,USD,US,The Americas,Operational Failure,Government,State/Local,Transportation,,http://spectrum.ieee.org/riskfactor/computing/it/indianas-bureau-of-motor-vehicles-overcharged-180000-customers-excise-tax-for-10-years,,,taxes
2014-11-01,,"Ontario's New CN$240 Million Social Assistance Management Systems (SAMS) Overpays 17,000 Social Welfare Recipients Some CN$20 Million",Government calls the overpayment a glitch.,,,1,days,24,17000,,,CAD,Canada,The Americas,Operational Failure,Government,State/Local,Health and Human Services,,http://www.thestar.com/news/canada/2014/11/28/computer_glitch_sends_20m_in_overpayments_to_social_assistance_recipients.html,,,social welfare
2015-01-01,1.78E8,South Carolina and HP Agree Over Failed $151 million 2013 Child Support Project,"HP agrees to pay South Carolina $44 Million, and South Carolina Agrees to Pay HP $5 million, leaving state with $112 million in costs. The state has paid another $66 million in federal fines for not having the system in place.",,,,,,,1.78E8,$,USD,US,The Americas,Project Failure,Government,State/Local,Health and Human Services,,http://www.thestate.com/news/politics-government/politics-columns-blogs/the-buzz/article13940351.html; http://www.thestate.com/news/politics-government/article14442176.html; http://www.thestate.com/news/local/article13901876.html,,HP,social welfare
2014-03-01,,Nissan Recalls Nearly 1 Million Cars to Fix Software Flaw,Affected models have an airbag deployment software bug.,989701,,,,,,,,,Worldwide,Worldwide,Operational Failure,Commercial,,,Auto and Land Transport,http://spectrum.ieee.org/riskfactor/transportation/safety/nissan-recalls-nearly-1-million-cars-for-airbag-software-fix,,Nissan,cars
2014-03-01,556000000,California's Court Management System Cancelled,The $260 million project to consolidate California's court IT systems was canceled after costs exploded to at least $1.9 billion.,,,,,,,556000000,$,USD,US,The Americas,Project Failure,,,,,http://www.sfgate.com/bayarea/matier-ross/article/Computer-system-dropped-after-500-million-spent-3450186.php; https://www.bsa.ca.gov/reports/summary/2010-102,,,
2013-07-01,137000000,"North Carolina's Medicaid System Delivered, But With Problems","NCTracks project grows from $92.7 million to $230 million, and takes two years before it works properly.",,,,,,,137000000,$,USD,US,The Americas,Project Failure,,,,,http://www.ncauditor.net/epsweb/reports/infosystems/isa-2013-4410.Pdf; http://newsok.com/follow-up-nc-audit-finds-nctracks-problems/article/feed/626286; http://www.ncdhhs.gov/news/press-releases/dhhs-nctracks-earns-certification-federal-government,,,
2012-11-01,123000000,California's $158 million  Disability Insurance Upgrade Project Finally Delivered,The project was delivered three years late and $123 million over the total original budget.,,,,,,,123000000,$,USD,US,The Americas,Project Failure,,,,,http://www.lao.ca.gov/handouts/socservices/2012/EDD_Automation_5_23_12.pdf; http://www.ocregister.com/taxdollars/online-495480-system-claims.html,,,
2011-05-01,43000000,California's Unemployment Call Center Project Delivered Late and Over-budget,The project was delivered 4 years late and $43 million over the total original budget.,,,,,,,43000000,$,USD,US,The Americas,Project Failure,,,,,http://www.lao.ca.gov/handouts/socservices/2012/EDD_Automation_5_23_12.pdf;,,,
2013-09-02,52000000,California's Unemployment Claims Redesign Project Delivered Late and Over-budget,The project was delivered 5 years late and $48 million over-budget. Problems with rollout cost another $4 million to fix.,,,,,,,52000000,$,USD,US,The Americas,Project Failure,,,,,http://www.lao.ca.gov/handouts/socservices/2012/EDD_Automation_5_23_12.pdf; http://spectrum.ieee.org/riskfactor/computing/it/californias-edd-unemployment-system-disaster-predicted-fiasco; http://articles.latimes.com/2014/feb/07/business/la-fi-mo-brown-edd-unemployment-insurance-20140207; http://www.news10.net/news/article/261097/2/EDD-refuses-to-release-documents-on-broken-computer-system,,,
2014-07-01,288000000,Social Security Administration Disability Case Processing System Project Runs On and On,"The original project was supposed to cost $381 million and to be delivered by 2013, but after $288 million was spent, nothing was delivered. At least another $170 million will be spent to get system running by 2016.",,,,,,,288000000,$,USD,US,The Americas,Project Failure,,,,,http://www.foxnews.com/politics/2014/07/23/social-security-spent-300m-on-it-boondoggle/; http://oig.ssa.gov/sites/default/files/audit/full/pdf/A-14-15-15016.pdf; http://oversight.house.gov/wp-content/uploads/2014/07/DCPS-Study.compressed.pdf,,,
2014-10-01,250000000,Navy ERP Systems Finally Completed,Systems are 3 years late and $250 million over budget.,,,,,,,250000000,$,USD,US,The Americas,Project Failure,,,,,http://www.rand.org/content/dam/rand/pubs/monographs/2012/RAND_MG1171z2.sum.pdf; http://www.dodig.mil/pubs/documents/DODIG-2013-105.pdf; http://www.navy.mil/submit/display.asp?story_id=84064,,,
2013-09-01,103000000,New $162 Million LA County Dept of Water and Power Billing System Was Supposed to Cost $59 Million,The DWP system was originally supposed to cost $59 Million.,,,,,,,103000000,$,USD,US,The Americas,Project Failure,Government,State/Local,Utilities,,http://spectrum.ieee.org/riskfactor/computing/it/los-angeles-department-of-water-and-power-scrambles-to-fix-billing-system-mess; http://www.cbsnews.com/news/power-restored-after-amtrak-disruption/,,,billing
