date,Impact - USD,Headline,Impact - Raw,Impact - units recalled,Impact - injured or killed,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected,Impact - Qty,Currency Symbol,Impact - Currency,Country,Region,Failure Type,Organization Type,Government Type,Government Department,Industry Area,url,Project,Companies,Theme
2005-10-01,,New AU$250 Million Australian Custom Service Integrated Cargo System Fails,Shipping disruptions in Australian ports persisted for over a year.,,,1,years,8766,,,,AUD,Australia,Asia Pacific and Japan,Operational Failure,Government,National,Customs,,http://www.theage.com.au/news/national/new-customs-it-cargo-system-fails-to-deliver/2005/10/20/1129775901865.html; http://www.3plwire.com/2006/10/11/australias-new-customs-system-still-experiencing-problems/,,,misc
2007-03-01,,US Airways New Integrated Reservation System Melts Down,The problem caused flight delays for a few days.,,,3,days,72,,,,,US,The Americas,Operational Failure,Commercial,,,Air Transport,http://usatoday30.usatoday.com/travel/flights/2007-03-05-us-airways-monday-update_N.htm; http://articles.philly.com/2007-03-06/business/25237309_1_passengers-kiosks-long-lines,,,airport/port/customs systems
2007-05-01,,All Nippon Airways Reservation System Crashes,"130 flights were cancelled and 306 flights were delayed, affecting nearly 70,000 passengers.",,,,,,69300,,,,Japan,Asia Pacific and Japan,Operational Failure,Commercial,,,Air Transport,http://www.infoworld.com/article/2662290/operating-systems/ana-still-in-the-dark-on-reservation-systems-failure.html,,,airport/port/customs systems
2007-05-01,,FAA San Diego TRACON Mapping Software Fails,"When TRACON has a problem, flights are delayed because they aren't allowed to take off.",,,1,hours,1,,,,,US,The Americas,Operational Failure,Government,National,Transportation,,http://spectrum.ieee.org/riskfactor/computing/it/a_system_burp,,,airport/port/customs systems
2007-06-01,,FAA Atlanta Air Traffic Control Center Computer Fails,Flight were cancelled and delayed along East Coast of the US.,,,4,hours,4,,,,,US,The Americas,Operational Failure,Government,National,Transportation,,http://spectrum.ieee.org/riskfactor/computing/it/a_system_burp,,,airport/port/customs systems
2007-06-01,,United Airlines Flight and Dispatch Goes Down,United flights were grounded worldwide for two hours.,,,2,hours,2,,,,,Worldwide,Worldwide,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/airline_systems_meltdowns,,,airport/port/customs systems
2008-02-01,,Software Update Crashes London Heathrow T4 Baggage System,"The crash affected the baggace of 4,000 passengers.",,,,,,4000,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/baggage_meltdown_at_heathrow,,,airport/port/customs systems
2008-03-01,32000000,New London Heathrow T5 Baggage System Melts Down,"Six hundred thirty-six of flights were cancelled and delayed over the course a week and a half. Over 140,000 passengers and their bags were affected.",,,10,days,240,140000,32000000,$,USD,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/heathrow_terminal_5_a_bit_sham; http://www.dailymail.co.uk/news/article-558913/Thousands-lost-Terminal-5-bags-burnt-owners-traced.html; http://www.parliament.uk/business/news/2008/11/heathrow-terminal-5/; http://www.cnbc.com/id/23892979,,,airport/port/customs systems
2008-04-01,,New London Heathrow T5 Baggage System Melts Crash Again,Two dozen flights were canceled and dozens more were delayed.,,,1,days,24,,, ,,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/britsh_airways_terminal_5_back; http://www.telegraph.co.uk/news/uknews/1583995/New-baggage-problems-at-Heathrows-T5.html; http://edition.cnn.com/2008/BUSINESS/04/04/ba.terminal5/; http://www.parliament.uk/business/news/2008/11/heathrow-terminal-5/,,,airport/port/customs systems
2014-12-01,,UK NATS Software Problem Closes UK Airspace for Hours,Hundreds of flights were delayed and disrupted for two days after a 90 minute outage.,,,90,minutes,1.5,236000,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Air Transport,http://www.nytimes.com/2014/12/13/world/europe/london-air-traffic-glitch-closes-airspace-and-disrupts-flights.html?_r=0; http://www.itpro.co.uk/business-intelligence/24682/decades-old-bug-wiped-out-uk-air-traffic-control,,,airport/port/customs systems
2008-08-01,,FAA Computer Problems Stalls Flights Across Eastern US,"The outage lasted for hours, with hundreds of flights delayed.",,,3.5,hours,3.5,,,,,US,The Americas,Operational Failure,Government,National,Transportation,,http://spectrum.ieee.org/riskfactor/computing/it/software_problem_halts_us_flig,,,airport/port/customs systems
2008-09-01,,All Nippon Airways Reservation System Crashes,"53 domestic flights were cancelled with another 200 delayed. Over 51,000 passengers were affected.",,,7,hours,7,51000,,,,Japan,Asia Pacific and Japan,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/software_problems_halts_ana_fl,,,airport/port/customs systems
2012-06-01,419583260,Queensland Health AU$102 Million Payroll System Rollout a Fiasco,"The original estimated cost was AU$6.2 Million. At least $440 million is estiamted to have been spent developing the system. It still has problems, and an additional $100 million may be needed to fix the system completely. ",,,,,,,433800000,$,AUD,Australia,Asia Pacific and Japan,Operational Failure,Government,State/Local,Health and Human Services,,http://spectrum.ieee.org/riskfactor/computing/it/outstanding-success-or-nightmare-payroll-system-lawsuit-may-decide,,IBM,"payroll, health, project problems"
2009-07-01,,United Airlines Check-in System Crashes,The system was out for 6 hours and 40 minutes. Several flights had to be cancelled and dozens were delayed.,,,7,hours,6.66,,,,,US,The Americas,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/united-airlines-computer-go-out-at-ohare,,,airport/port/customs systems
2009-07-01,,US Customs Computers Crash Across US,Thousands of travelers were affected by the glitch that lasted for over four hours.,,,5,hours,4.66,,,,,US,The Americas,Operational Failure,Government,National,Customs,,http://spectrum.ieee.org/riskfactor/computing/it/another-computer-outage-at-ohare-airport,,,airport/port/customs systems
2009-11-01,,FAA's Atlanta Flight Planning System Problem Hits East Coast Flights,"The outage lasted four hours, delaying 819 flights.",,,4,hours,4,,,,,US,The Americas,Operational Failure,Government,National,Transportation,,http://spectrum.ieee.org/riskfactor/computing/it/faa-computer-problem-causes-widespread-flight-delays-in-us; http://www.aviationtoday.com/regions/usa/FAA-Adopts-FTI-Outage-Fixes_67959.html#.VbEKx_lVhBc,,,airport/port/customs systems
2010-04-01,,US Customs Computer Crashes Across US,Thousands of international passengers faced delays.,,,2,hours,2,,,,,US,The Americas,Operational Failure,Government,National,Customs,,http://spectrum.ieee.org/riskfactor/computing/it/us-customs-and-border-protection-computer-crashes-last-week-causing-delays-at-airports,,,airport/port/customs systems
2010-06-01,,Virgin Blue's New AU$10 Million Reservation & Ticketing System Crashes,Australian flights were delayed.,,,95,minutes,1.583333333,,,,AUD,Australia,Asia Pacific and Japan,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/aerospace/aviation/virgin-blues-brand-new-airline-reservations-system-crashes; http://www.tnooz.com/article/virgin-blue-flights-delayed-as-navitaire-reservations-systems-crashes/,,,airport/port/customs systems
2010-09-01,,Virgin Blue's New AU$10 Million Reservation & Ticketing System Crashes Twice Within Days,"Over 50,000 passengers and 400 flights were affected.",,,21,hours,21,50000,,,AUD,Australia,Asia Pacific and Japan,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/aerospace/aviation/up-to-100000-passengers-of-virgin-blue-in-australia-impacted-by-reservation-checkin-system-crash,,,airport/port/customs systems
2010-10-01,17496639,Virgin Blue Sues Reservation & Ticketing System Developer for AU$20 Million,The airline reportedly settled with Accenture-owned Navitaire for AU$18 million.,,,,,,,1.8E7,$,AUD,Australia,Asia Pacific and Japan,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/aerospace/aviation/virgin-blue-may-want-a20-million-for-reservation-system-meltdown; http://www.theaustralian.com.au/business/navitaire-booking-glitch-earns-virgin-20m-in-compo/story-e6frg8zx-1226033624246,,"Northrop Grumman, Accenture, Navitaire",airport/port/customs systems
2011-05-01,,"US Diversity Visa Lottery Programming Error Means 22,000 Lottery Winners Aren't","State Dept. says the lottery wasn't fair, so will start over.",,,,,,22000,,,,US,The Americas,Operational Failure,Government,National,Customs,,http://spectrum.ieee.org/riskfactor/computing/software/us-diversity-visa-lottery-programming-problem-22000-unhappy-147-million-happy-about-the-glitch,,,airport/port/customs systems
2011-11-01,,Amadeus Reservation System Glitch Affects Airlines Worldwide,"Boarding passes had to be printed out by hand by Qantas, BA, Air France, and Lufthansa for several hours.",,,140,minutes,2.333333333,,,,,Worldwide,Worldwide,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/aerospace/aviation/worldwide-airline-reservation-hiccup-cured,,,airport/port/customs systems
2012-03-01,,United-Continental Merged Reservation System Hits Major Turbulence,"United CEO claimed that system was well prepared, but it was anything but.",,,1,months,730,,,,,US,The Americas,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/aerospace/aviation/united-airlines-reservation-system-cutover-still-hitting-patches-of-rough-air; http://www.npr.org/sections/thetwo-way/2012/08/28/160203793/computer-troubles-freeze-united-airlines-system-bringing-a-cascade-of-delays,,,airport/port/customs systems
2012-10-01,,Sprint Cable Cuts Hit Airlines using Sabre Reservation System,"Alaska, American, Frontier and SouthWest were all affected.",,,5.75,hours,5.75,7000,,,,US,The Americas,Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/riskfactor/aerospace/aviation/sprint-cable-cuts-smack-alaska-airlines-hard,,,"airport/port/customs systems, telecom"
2013-04-01,,American Airlines Reservation System Out for Over Four Hours Due to Software Issue,"Connectivity issues cited, 970 flights canceled and 1068 delayed",,,4.5,hours,4.5,,,,,Worldwide,Worldwide,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/aerospace/aviation/american-airlines-still-recovering-from-software-issue-that-grounded-flights-yesterday,,,airport/port/customs systems
2013-06-01,,Southwest Airlines Grounds Entire Fleet for Three Hours After Computer Failure,"57 Flights were cancelled, and 250 others were grounded.",,,3,hours,3,,,,,US,The Americas,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/it-hiccups-of-the-week-southwest-airlines-computer-failure-grounded-all-flights,,,airport/port/customs systems
2013-08-01,,Sabre Reservation System Experiences Worldwide Outage for 2 Hours,"Dozens of flights around the world were canceled, and many more were delayed.",,,2.5,hours,2.5,,,,,Worldwide,Worldwide,Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/it-hiccups-of-the-week-sabre-outage-hit-flights-worldwide,,,airport/port/customs systems
2013-12-01,,"UK NATS System Crashes, Snarls Air Traffic Across Britain and Europe","300 flights were cancelled and another 1,400 flights delayed over the course of two days.",,,13,hours,13,,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/uk-air-traffic-control-problem-snarls-flights-over-weekend; http://www.techweekeurope.co.uk/workspace/air-traffic-control-software-glitch-133716; http://www.ft.com/intl/cms/s/0/65544730-8216-11e4-b9d0-00144feabdc0.html#axzz3gjQXQL2y,,,airport/port/customs systems
2014-03-01,685329462,UK £750 Million e-Borders Project Finally Ends,"The UK government eventually agreed to a cost of 409.3 Million pounds (£259.3 Million in initial costs, and a £150 Million contract termination fee). ",,,,,,,409300000,£,GBP,UK,"Europe, Middle East, and Africa",Project Failure,Government,National,Customs,,http://www.computerweekly.com/news/2240216029/Government-finally-scraps-e-Borders-programme; https://www.gov.uk/government/news/home-secretary-letter-on-the-e-borders-programme-arbitration; http://www.bizjournals.com/boston/blog/techflash/2015/03/raytheon-u-k-subsidiary-reaches-223m-settlement.html ,,Raytheon,"airport/port/customs systems, project termination/cancellation"
2014-05-01,,U2 Flight Exposes Software Flaw in FAA Air Traffic Control System,Air traffic in four Western States was affected by trouble with En Route Automation Modernization (ERAM) system.,,,1,hours,1,,,,,US,The Americas,Operational Failure,Government,National,Transportation,,http://spectrum.ieee.org/riskfactor/computing/it/report-claims-u2-to-blame-for-us-west-coast-airtraffic-outage,,,airport/port/customs systems
2014-06-01,,Heathrow Terminal 5 Has Multi-day Baggage System Problems,Thousands of passengers had to fly without bags.,,,3,days,72,5000,,,,UK,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Air Transport,http://spectrum.ieee.org/riskfactor/computing/it/thousands-of-bags-miss-flights-at-british-airways-heathrow-terminal-5-again; http://www.telegraph.co.uk/travel/travelnews/5676256/Thousands-stranded-by-Heathrow-Terminal-5-baggage-failure.html,,,airport/port/customs systems
2012-03-01,5.56E8,California Cancels Court Case Management System After Spending $556 Million,Another $1.3 Billion would be needed to finish the system.,,,,,,,5.56E8,$,USD,US,The Americas,Project Failure,Government,State/Local,Law Enforcement,,http://www.ocregister.com/taxdollars/strong-478664-project-million.html,,,project termination/cancellation
2006-07-01,28400000,University of Wisconsin Cancels Payroll and Benefits System,The failed project cost $28.4 Million.,,,,,,,28400000,$,USD,US,The Americas,Project Failure,Government,State/Local,Education,,http://legis.wisconsin.gov/lab/reports/07-5Full.pdf,,,"project termination/cancellation, payroll"
2007-07-01,177114866,Irish Health Services Executive Abandons €131 million Payroll System PPARS,Costs had climbed from €9 million to €131 million since 2005.,,,,,,,131000000,€,EUR,Ireland,"Europe, Middle East, and Africa",Project Failure,Government,National,Health and Human Services,,http://www.irishhealth.com/article.html?id=11805,,,"payroll, health"
2007-08-01,,New $95 Million Los Angeles Unified School District Payroll System Doesn't Work,"Tens of thousands of teachers, cafeteria workers, classroom aides and others have been underpaid, overpaid, or not paid at all.",,,,,,50000,,,,US,The Americas,Operational Failure,Government,State/Local,Education,,http://spectrum.ieee.org/riskfactor/computing/it/la_school_system_blunder,,,payroll
2013-08-01,1.67E8,Pennsylvania Won't Renew Contract with IBM Over Botched Unemployment System,"Original cost was $106.9 Million, but over $167 Million was spent and the project was 3 years late and still missing critical functionality.",,,,,,,1.67E8,$,USD,US,The Americas,Project Failure,Government,State/Local,Labor,,http://spectrum.ieee.org/riskfactor/computing/it/pennsylvania-wont-renew-ibms-contract-for-botched-project,,,contract termination/cancellation
2008-06-01,15814402,Swansea City Council Cancels £800K Payroll Project after £8 Million Cost Overrun,The project resulted in a £8 Million loss.,,,,,,,8000000,£,GBP,UK,"Europe, Middle East, and Africa",Project Failure,Government,State/Local,Information Technology,,http://spectrum.ieee.org/riskfactor/computing/it/how_do_you_create_a_8_million,,,"project termination/cancellation, payroll"
2010-10-01,9.0E7,Verizon Overbills 15 Million Customers for Years Due to Software Errors,There were $90 Million in overcharges during that time,,,,,,15000000,9.0E7,$,,US,The Americas,Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/riskfactor/telecom/wireless/verizon-overbilled-15-million-customers-for-years-because-of-software-errors,,,"billing, telecom"
2009-11-01,1.89E8,"Processing Error Withdraws Pension Checks of 66,000 Retired New York City Teachers",$189 Million was accidentally sent back to state.,,,,,,66000,1.89E8,$,USD,US,The Americas,Operational Failure,Government,State/Local,Education,,http://spectrum.ieee.org/riskfactor/computing/it/processing-error-withdraws-pension-checks-of-66000-retired-new-york-city-teachers,,,payroll
2010-08-01,5000000,24 Virginia State Agencies Knocked Offline by Server Problems,Problems last over a week for some agencies. The state later fined Northrop Grumman $5 million for the the outages.,,,1,weeks,168,,5000000,$,USD,US,The Americas,Operational Failure,Government,State/Local,Information Technology,,http://spectrum.ieee.org/riskfactor/computing/it/virginia-state-agencies-still-suffering-from-server-problems;  http://www.computerworld.com/article/2515423/data-center/northrop-grumman-takes-blame-for-va--it-services-outage.html; http://spectrum.ieee.org/riskfactor/computing/it/virginias-2-billion-outsourced-it-contract-in-shambles; http://www.washingtonpost.com/blogs/virginia-politics/post/virginia-fines-northrop-grumman-nearly-5m-for-massive-computer-outage/2011/05/19/AF9eLB7G_blog.html,Northrop Grumman,,system outage/crash
2011-06-01,7.2E8,"US Government Files Fraud Charges over CityTime Billing, New York Wants SAIC to Pay Back $600 Million in Billings",The total project cost billed was $720 Million.,,,,,,,7.2E8,$,USD,US,The Americas,Project Failure,Government,State/Local,Finance and Treasury,,http://spectrum.ieee.org/riskfactor/computing/it/new-york-city-to-citytime-prime-contractor-saic-fork-over-our-600-million; http://spectrum.ieee.org/riskfactor/computing/it/nyc-bigtime-citytime-fraud-charges-ripples-on,,SAIC,payroll
2013-02-01,50000000,California Cancels $89.7 Million MyCalPAYS Payroll Modernization System,"$50 Million was spent, but 5 Phase system development never made it past Phase 1.",,,,,,,50000000,$,USD,US,The Americas,Project Failure,Government,State/Local,Finance and Treasury,,http://spectrum.ieee.org/riskfactor/computing/it/californias-payroll-project-debacle-another-50-million-up-in-smoke,,SAP,"project termination/cancellation, payroll"
2007-08-01,,Skype Software Update Takes it Down,Millions of users affected for two days,,,2,days,48,220000000,,,,Worldwide,Worldwide,Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/riskfactor/computing/it/skype_scuppered; http://www.nytimes.com/2007/08/21/business/worldbusiness/21skype.html?pagewanted=print&_r=0; http://heartbeat.skype.com/2007/08/what_happened_on_august_16.html; http://www.cnet.com/news/skypes-unprecedented-outage/,,"Microsoft, Skype",telecom
2008-02-01,,BlackBerry Goes Dark Across North America,Software update blamed,,,3,hours,3,,,,,North America,The Americas,Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/tech-talk/semiconductors/devices/blackberry_service_outage_hits,,BlackBerry,telecom
2008-07-01,,"Cut Optus Fibre Optic Cable Affect 1 Million Customers in Queensland, Australia","Cut causes major land line, mobile phone and internet shutdown for over four hours.",,,4,hours,4,1000000,,,,Australia,Asia Pacific and Japan,Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/riskfactor/computing/it/fun_in_the_land_of_oz,,,telecom
2008-12-01,,Undersea Cables Damaged in Mediterranean Sea,"Internet, data and telephone communications disrupted for days across the eastern Mediterranean region. A France Telecom report listed 14 countries affected by the current problem. The cables were repaired on 31 December 2008.",,,12,days,288,,,,,EMEA,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/riskfactor/computing/it/undersea_cables_damaged_in_med; http://www.wired.com/2008/12/mediterranean-c/; http://www.osa-opn.org/home/articles/volume_25/march_2014/features/sea_change_the_challenges_facing_submarine_optical/#.VXgrjvlVhBc,,,telecom
2009-09-01,,Gmail Goes Down,"The service was down for about 2 hours, hitting 150 Million users.",,,2,hours,2,150000000,,,,Worldwide,Worldwide,Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/riskfactor/computing/it/google-gmail-should-be-working-again,,,telecom
2009-10-01,,T-Mobile Temporarily Stops Selling Sidekick Phones after Massive  User Data Loss,Sidekick owners lost their data due to Microsoft data center issues.,,,,,,800000,,,,US,The Americas,Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/riskfactor/computing/it/tmobile-temporarily-stops-selling-sidekick-phones; http://www.zdnet.com/article/t-mobile-sidekick-data-outage-tests-mettle-of-800000-customers-carrier/,,"Microsoft, T-Mobile",telecom
2009-12-01,,Blackberry Suffers Back to Back Outages,The company blames an update of their messenger software.,,,8,hours,8,1.88E7,,,,US,The Americas,Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/riskfactor/telecom/wireless/blackberry-zeroing-in-on-cause-of-recent-outages; http://www.cnn.com/2009/TECH/12/23/blackberry.outage/; http://www.statista.com/statistics/232792/forecast-of-rim-users-in-the-us/,,BlackBerry,telecom
2010-12-01,,Comcast Suffers Major East Coast Outage Lasting for 15 Hours,"The company blames it on a ""server issue.""",,,15,hours,15,,,,,US,The Americas,Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/riskfactor/telecom/internet/comcast-suffers-major-internet-outage,,,telecom
2011-04-01,,Georgian Woman Accused of Accidentally Bringing Down Armenia's Internet with Shovel,The 75-year old was likely scavenging for wiring to sell as scrap.,,,12,hours,12,,,,,Georgia,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/riskfactor/telecom/internet/georgian-woman-accidentally-brings-down-armenias-internet,,,telecom
2011-10-01,,"BlackBerry Experiences Email and Internet Outages across Europe, the Middle East, and Africa",Servers were blamed for disruptions that last almost three days and affected over 40 Million customers.,,,3,days,72,4.0E7,,,,EMEA,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/riskfactor/telecom/wireless/glitch-leaves-millions-of-blackberry-owners-without-email-internet,,BlackBerry,telecom
2012-07-01,25254407,France Telecom Mobile 10-Hour Outage Affects 26 Million Subscribers,Compensation estimated to cost up to €20 Million.,,,10,hours,10,26000000,20000000,€,EUR,France,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/riskfactor/telecom/wireless/france-tlcom-mobile-network-outage-affecting-26-million-subscribers-angers-government-ministers; http://in.reuters.com/article/2012/07/11/francetelecom-outage-idINL6E8IBBND20120711,,,telecom
2012-09-01,,"Blackberry Email and Internet Disrupted for Three Hours in Europe, the Middle East and Africa","Blackberry blamed a ""service issue.""",,,3,hours,3,,,,,EMEA,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Telecom,http://spectrum.ieee.org/riskfactor/telecom/wireless/blackberry-service-issue-underscores-apple-iphone-5-launch,,BlackBerry,telecom
2010-05-01,,NYSE Trading Goes Haywire,The exchange suddenly drops more than 587 points. The cause was later traced to a trading algorithm.,,,6,minutes,0.1,,,,,US,The Americas,Operational Failure,Commercial,,,Stock Exchanges,http://spectrum.ieee.org/riskfactor/computing/it/man-the-hatches-new-york-stock-market-trading-goes-haywire,,,stock exchange
2005-03-01,1.7E8,FBI Cancels Virtual Case File System,The failed project cost $170 Million.,,,,,,,1.7E8,$,USD,US,The Americas,Project Failure,Government,National,Law Enforcement,,http://www.computerworld.com/article/2569344/app-development/fbi-scuttles--170m-system-for-managing-investigations.html;https://oig.justice.gov/reports/FBI/a0507/exec.htm,FBI VCF/Sentinel,SAIC,project termination/cancellation
2005-12-01,27900000,Colorado Department of Labor & Employment’s Terminates State Unemployment IT Project Genesis,$27.9 Million was spent on the unsuccessful project.,,,,,,,27900000,$,USD,US,The Americas,Project Failure,Government,State/Local,Labor,,http://www.leg.state.co.us/osa/coauditor1.nsf/All/22147172A4CF63D787257331006E6610/$FILE/1778%20Genesis%20Project%20Perf%20MEMO%208-6-07.pdf,,,project termination/cancellation
2005-12-01,1.83E7,US DHS Cancels Emerge2 Program,$18.3 Million was already spent.,,,,,,,1.83E7,$,USD,US,The Americas,Project Failure,Government,National,Law Enforcement,,http://fcw.com/articles/2006/03/30/emerge2s-failure-sends-dhs-back-to-drawing-board.aspx?admgarea=TC_Management,,SAP,project termination/cancellation
2006-01-01,1175015,FBI Terminates Laboratory Information Management System Project,The program cost the FBI $1.2 Million and the project was already two years late.,,,,,,,1175015,$,USD,US,The Americas,Project Failure,Government,National,Law Enforcement,,http://www.justice.gov/oig/reports/FBI/a0633/final.pdf,,,project termination/cancellation
2006-07-01,14400000,US Treasury Dept. Cancels $15.1 Million BSA Direct R&S Project,$14.4 Million was wasted on a project initially estimated to cost $8.9 million. And it still didn't work.,,,,,,,14400000,$,USD,US,The Americas,Project Failure,Government,National,Finance and Treasury,,http://www.fincen.gov/news_room/nr/html/20060713.html,,,project termination/cancellation
2006-07-01,840240132,UK Terminates Child Support Agency undermined by IT System Failure,£456 Million was spent on a failed system.,,,,,,,456000000,£,GBP,UK,"Europe, Middle East, and Africa",Project Failure,Government,National,Health and Human Services,,http://www.computerweekly.com/news/2240077941/IT-failures-help-speed-demise-of-Child-Support-Agency,,,project termination/cancellation
2006-09-01,266712389,UK Scraps Department of Work  and Pensions Benefits Processing Replacement Programme,£141 Million was spent with no payoff.,,,,,,,1.4E8,£,GBP,UK,"Europe, Middle East, and Africa",Project Failure,Government,National,Labor,,http://www.computerweekly.com/news/2240078312/DWP-shelves-140m-benefits-processing-system,,,project termination/cancellation
2007-02-01,23600000,Wisconsin Pulls Plug on $41.2 Million  EnABLES Unemployment Insurance Project,"$23.6 Million was spent on the system that was supposed to be built over 7 phases. Phase 1 worked and cost $13 Million, while phase 2 never worked and cost $10 Million.",,,,,,,23600000,$,USD,US,The Americas,Project Failure,Government,State/Local,Labor,,http://www.jsonline.com/news/wisconsin/29386584.html,,,project termination/cancellation
2007-03-01,77675803,RCMP Canadian Firearms Program Cancelled,The government is on the hook for CN$91 Million.,,,,,,,9.1E7,$,CAD,Canada,The Americas,Project Failure,Government,National,Law Enforcement,,http://www.thestar.com/news/2007/11/08/gun_registry_contract_cancelled_after_81m_spent.html?app=noRedirect,,CGI,project termination/cancellation
2007-07-01,3820955,Australia Cancels AU$4.5 Million Firelink Wildfire Communications System Project,AU$4.5 million was wasted in the effort.,,,,,,,4500000,$,AUD,Australia,Asia Pacific and Japan,Project Failure,Government,National,Law Enforcement,,http://www.abc.net.au/news/2007-07-13/act-firelink-system-waste-of-money/2501524,,,project termination/cancellation
2008-01-01,407819795,UK Cancels $750 Million C-NOMIS Prison IT System,The cost to cancel was £205 Million.,,,,,,,205000000,£,GBP,UK,"Europe, Middle East, and Africa",Project Failure,Government,National,Law Enforcement,,http://spectrum.ieee.org/riskfactor/computing/it/uk_cancels_750_million_prison,,,project termination/cancellation
2008-03-01,1219730740,Australian Super Seasprite Helo Electronic Upgrade Cancelled,The estimated taxpayer cost was AU$1.3 Billion.,,,,,,,1300000000,$,AUD,Australia,Asia Pacific and Japan,Project Failure,Government,National,Defense and Veterans Affairs,,http://spectrum.ieee.org/riskfactor/computing/it/it_mercy_rule_called_seasprite; http://spectrum.ieee.org/riskfactor/computing/it/australian_super_seasprite_sof,,,project termination/cancellation
2009-06-01,3.3E9,DoD Cancels $26 Billion Transformational Satellite Program,"$3.3 billion was spent on the program. The cost estimates basically doubled from an initial $12-15 Billion. The official termination was June 2009, but DefSec Gates made the decision in April 2009.",,,,,,,3.3E9,$,USD,US,The Americas,Project Failure,Government,National,Defense and Veterans Affairs,,http://www.defense.gov/Contracts/Contract.aspx?ContractID=4043; http://spacenews.com/pentagon-cancels-t-sat-program-trims-missile-defense/; https://www.whitehouse.gov/sites/default/files/omb/budget/fy2010/assets/trs.pdf,,,project termination/cancellation
2009-06-01,1.8E10,$200 Billion US Army Future Combat System Program Terminated,$18 Billion was spent before cancellation.,,,,,,,1.8E10,$,USD,US,The Americas,Project Failure,Government,National,Defense and Veterans Affairs,,http://spectrum.ieee.org/riskfactor/computing/it/us-army-future-combat-systems-program-formally-terminated,,,project termination/cancellation
2009-09-01,127000000,VA Scraps $167 Million Scheduling Replacement Projecect After 9 Years,$127 million in costs were written off.,,,,,,,127000000,$,USD,US,The Americas,Project Failure,Government,National,Defense and Veterans Affairs,,http://www.gao.gov/new.items/d10579.pdf; http://www.nextgov.com/defense/whats-brewin/2014/05/remember-va-replacement-scheduling-project/84523/,,,project termination/cancellation
2010-02-01,1000000000,DoD Cancels Defense Integrated Military Human Resources System After Spending $1 Billion and 12 years of effort,$1 billion was spent with little to show for it.,,,,,,,1000000000,$,USD,US,The Americas,Project Failure,Government,National,Defense and Veterans Affairs,,http://articles.dailypress.com/2010-02-21/news/dp-local_milupdate_0222feb22_1_military-personnel-payroll-navy-and-air-force; http://www.dodig.mil/audit/reports/fy10/10-041redacted.pdf,,,project termination/cancellation
2010-02-01,6.0E9,US Government Abandons $13.9 Billion National Polar-orbiting Operational Environmental Satellite System Project,Nearly $6 Billion was spent and only one limited-life NASA satellite was almost ready to launch.,,,,,,,6.0E9,$,USD,US,The Americas,Project Failure,Government,National,Defense and Veterans Affairs,,http://www.whitehouse.gov/sites/default/files/npoess_decision_fact_sheet_2-1-10.pdf; http://gop.science.house.gov/Media/hearings/oversight10/june29/Powner.pdf; http://www.gpo.gov/fdsys/pkg/CHRG-112hhrg68320/html/CHRG-112hhrg68320.htm,,,project termination/cancellation
