project,url,currency,milestone-1-name,milestone-1-systems to replace,milestone-1-cost,milestone-2-name,milestone-2-systems to replace,milestone-2-cost
BC’s Integrated Case Management (ICM) System,http://spectrum.ieee.org/riskfactor/computing/it/british-columbias-integrated-case-management-system-falls-over,C$,start,56,null,complete,17,182000000
California Court system project,http://www.sfgate.com/bayarea/matier-ross/article/Computer-system-dropped-after-500-million-spent-3450186.php,US$,start,70,260000000,complete,0,500000000
California MyCalPays modernization project,http://www.lao.ca.gov/Recommendations/Details/761,US$,start,13,130000000,complete,0,262000000
CalPERS benefits management system,http://googleblog.blogspot.com/2014/02/shedding-some-light-on-foreign.html,US$,start,49,279000000,complete,49,433000000
The IRS Disability Case Processing System,http://oig.ssa.gov/sites/default/files/audit/full/pdf/A-14-15-15016.pdf,US$,start,54,null,todate,54,288000000
Navy’s ERP project,,US$,start,96,1900000000,complete,96,2700000000
DOD’s DIMHRS Project,http://spectrum.ieee.org/riskfactor/computing/it/all-us-government-it-projects-under-review,US$,start,90,427000000,complete,0,1000000000
UK’s FiReControl project,http://spectrum.ieee.org/riskfactor/computing/it/uk-firecontrol-it-project-one-of-the-worst-ever,£,start,46,100000000,complete,5,469000000
